{4}	{1, 2}	0.50	0.67
{1, 2}	{4}	0.50	0.67
{1}	{2, 4}	0.50	0.67
{2, 4}	{1}	0.50	0.67
{2}	{1, 4}	0.50	0.67
{1, 4}	{2}	0.50	0.67
{5}	{0, 2}	0.50	0.50
{0, 2}	{5}	0.50	0.50
{0}	{2, 5}	0.50	1.00
{2, 5}	{0}	0.50	1.00
{2}	{0, 5}	0.50	0.67
{0, 5}	{2}	0.50	0.67
{5}	{1, 2}	0.50	0.50
{1, 2}	{5}	0.50	0.50
{1}	{2, 5}	0.50	0.67
{2, 5}	{1}	0.50	0.67
{2}	{1, 5}	0.50	0.67
{1, 5}	{2}	0.50	0.67
{4}	{1, 5}	0.75	1.00
{1, 5}	{4}	0.75	1.00
{1}	{4, 5}	0.75	1.00
{4, 5}	{1}	0.75	1.00
{5}	{1, 4}	0.75	0.75
{1, 4}	{5}	0.75	0.75
{4}	{2, 5}	0.50	0.67
{2, 5}	{4}	0.50	0.67
{5}	{2, 4}	0.50	0.50
{2, 4}	{5}	0.50	0.50
{2}	{4, 5}	0.50	0.67
{4, 5}	{2}	0.50	0.67
{6}	{0, 2}	0.50	0.50
{0, 2}	{6}	0.50	0.50
{0}	{2, 6}	0.50	1.00
{2, 6}	{0}	0.50	1.00
{2}	{0, 6}	0.50	0.67
{0, 6}	{2}	0.50	0.67
{6}	{1, 2}	0.50	0.50
{1, 2}	{6}	0.50	0.50
{1}	{2, 6}	0.50	0.67
{2, 6}	{1}	0.50	0.67
{2}	{1, 6}	0.50	0.67
{1, 6}	{2}	0.50	0.67
{4}	{1, 6}	0.75	1.00
{1, 6}	{4}	0.75	1.00
{1}	{4, 6}	0.75	1.00
{4, 6}	{1}	0.75	1.00
{6}	{1, 4}	0.75	0.75
{1, 4}	{6}	0.75	0.75
{4}	{2, 6}	0.50	0.67
{2, 6}	{4}	0.50	0.67
{6}	{2, 4}	0.50	0.50
{2, 4}	{6}	0.50	0.50
{2}	{4, 6}	0.50	0.67
{4, 6}	{2}	0.50	0.67
{5}	{0, 6}	0.50	0.50
{0, 6}	{5}	0.50	0.50
{0}	{5, 6}	0.50	1.00
{5, 6}	{0}	0.50	1.00
{6}	{0, 5}	0.50	0.50
{0, 5}	{6}	0.50	0.50
{5}	{1, 6}	0.75	0.75
{1, 6}	{5}	0.75	0.75
{1}	{5, 6}	0.75	1.00
{5, 6}	{1}	0.75	1.00
{6}	{1, 5}	0.75	0.75
{1, 5}	{6}	0.75	0.75
{5}	{2, 6}	0.75	0.75
{2, 6}	{5}	0.75	0.75
{6}	{2, 5}	0.75	0.75
{2, 5}	{6}	0.75	0.75
{2}	{5, 6}	0.75	1.00
{5, 6}	{2}	0.75	1.00
{4}	{5, 6}	0.75	1.00
{5, 6}	{4}	0.75	1.00
{5}	{4, 6}	0.75	0.75
{4, 6}	{5}	0.75	0.75
{6}	{4, 5}	0.75	0.75
{4, 5}	{6}	0.75	0.75
{4}	{1, 2, 5}	0.50	0.67
{1, 2, 5}	{4}	0.50	0.67
{1}	{2, 4, 5}	0.50	0.67
{2, 4, 5}	{1}	0.50	0.67
{5}	{1, 2, 4}	0.50	0.50
{1, 2, 4}	{5}	0.50	0.50
{2}	{1, 4, 5}	0.50	0.67
{1, 4, 5}	{2}	0.50	0.67
{1, 4}	{2, 5}	0.50	0.67
{2, 5}	{1, 4}	0.50	0.67
{4, 5}	{1, 2}	0.50	0.67
{1, 2}	{4, 5}	0.50	0.67
{4}	{1, 2, 6}	0.50	0.67
{1, 2, 6}	{4}	0.50	0.67
{1}	{2, 4, 6}	0.50	0.67
{2, 4, 6}	{1}	0.50	0.67
{6}	{1, 2, 4}	0.50	0.50
{1, 2, 4}	{6}	0.50	0.50
{2}	{1, 4, 6}	0.50	0.67
{1, 4, 6}	{2}	0.50	0.67
{1, 4}	{2, 6}	0.50	0.67
{2, 6}	{1, 4}	0.50	0.67
{4, 6}	{1, 2}	0.50	0.67
{1, 2}	{4, 6}	0.50	0.67
{5}	{0, 2, 6}	0.50	0.50
{0, 2, 6}	{5}	0.50	0.50
{0}	{2, 5, 6}	0.50	1.00
{2, 5, 6}	{0}	0.50	1.00
{6}	{0, 2, 5}	0.50	0.50
{0, 2, 5}	{6}	0.50	0.50
{2}	{0, 5, 6}	0.50	0.67
{0, 5, 6}	{2}	0.50	0.67
{0, 5}	{2, 6}	0.50	1.00
{2, 6}	{0, 5}	0.50	1.00
{5, 6}	{0, 2}	0.50	0.50
{0, 2}	{5, 6}	0.50	0.50
{5}	{1, 2, 6}	0.50	0.50
{1, 2, 6}	{5}	0.50	0.50
{1}	{2, 5, 6}	0.50	0.67
{2, 5, 6}	{1}	0.50	0.67
{6}	{1, 2, 5}	0.50	0.50
{1, 2, 5}	{6}	0.50	0.50
{2}	{1, 5, 6}	0.50	0.67
{1, 5, 6}	{2}	0.50	0.67
{1, 5}	{2, 6}	0.50	0.67
{2, 6}	{1, 5}	0.50	0.67
{5, 6}	{1, 2}	0.50	0.50
{1, 2}	{5, 6}	0.50	0.50
{4}	{1, 5, 6}	0.75	1.00
{1, 5, 6}	{4}	0.75	1.00
{6}	{1, 4, 5}	0.75	0.75
{1, 4, 5}	{6}	0.75	0.75
{1}	{4, 5, 6}	0.75	1.00
{4, 5, 6}	{1}	0.75	1.00
{5}	{1, 4, 6}	0.75	0.75
{1, 4, 6}	{5}	0.75	0.75
{4, 6}	{1, 5}	0.75	1.00
{1, 5}	{4, 6}	0.75	1.00
{1, 4}	{5, 6}	0.75	1.00
{5, 6}	{1, 4}	0.75	1.00
{4}	{2, 5, 6}	0.50	0.67
{2, 5, 6}	{4}	0.50	0.67
{5}	{2, 4, 6}	0.50	0.50
{2, 4, 6}	{5}	0.50	0.50
{6}	{2, 4, 5}	0.50	0.50
{2, 4, 5}	{6}	0.50	0.50
{2}	{4, 5, 6}	0.50	0.67
{4, 5, 6}	{2}	0.50	0.67
{4, 5}	{2, 6}	0.50	0.67
{2, 6}	{4, 5}	0.50	0.67
{4, 6}	{2, 5}	0.50	0.67
{2, 5}	{4, 6}	0.50	0.67
{6}	{1, 2, 4, 5}	0.50	0.50
{1, 2, 4, 5}	{6}	0.50	0.50
{5}	{1, 2, 4, 6}	0.50	0.50
{1, 2, 4, 6}	{5}	0.50	0.50
{1}	{2, 4, 5, 6}	0.50	0.67
{2, 4, 5, 6}	{1}	0.50	0.67
{2}	{1, 4, 5, 6}	0.50	0.67
{1, 4, 5, 6}	{2}	0.50	0.67
{4}	{1, 2, 5, 6}	0.50	0.67
{1, 2, 5, 6}	{4}	0.50	0.67
{5, 6}	{1, 2, 4}	0.50	0.50
{1, 2, 4}	{5, 6}	0.50	0.50
{1, 6}	{2, 4, 5}	0.50	0.67
{2, 4, 5}	{1, 6}	0.50	0.67
{2, 6}	{1, 4, 5}	0.50	0.67
{1, 4, 5}	{2, 6}	0.50	0.67
{4, 6}	{1, 2, 5}	0.50	0.67
{1, 2, 5}	{4, 6}	0.50	0.67
{1, 5}	{2, 4, 6}	0.50	0.67
{2, 4, 6}	{1, 5}	0.50	0.67
{2, 5}	{1, 4, 6}	0.50	0.67
{1, 4, 6}	{2, 5}	0.50	0.67
{4, 5}	{1, 2, 6}	0.50	0.67
{1, 2, 6}	{4, 5}	0.50	0.67
{1, 2}	{4, 5, 6}	0.50	1.00
{4, 5, 6}	{1, 2}	0.50	1.00
{1, 4}	{2, 5, 6}	0.50	0.67
{2, 5, 6}	{1, 4}	0.50	0.67
{2, 4}	{1, 5, 6}	0.50	1.00
{1, 5, 6}	{2, 4}	0.50	1.00
